OpcodeBytes,OperandBytes,FirstOperandMask,FirstOperandHexDec,FirstOperandSignedUnsigned,SecondOperandMask,SecondOperandHexDec,SecondOperandSignedUnsigned,AssemblyString
E2,0000,FFFF,H,U,,,,"JPO ?"
E3,,,,,,,,"XTHL"
E4,0000,FFFF,H,U,,,,"CPO ?"
E5,,,,,,,,"PUSH h"
E6,00,FF,H,U,,,,"ANI ?"
E7,,,,,,,,"RST 4 (CALL $20) CALL n*8"
E8,,,,,,,,"RPE"
E9,,,,,,,,"PCHL"
EA,0000,FFFF,H,U,,,,"JPE ?"
EB,,,,,,,,"XCHG"
EC,0000,FFFF,H,U,,,,"CPE ?"
ED,0000,FFFF,H,U,,,,"LHLX ?"
EE,00,FF,H,U,,,,"XRI ?"
EF,,,,,,,,"RST 5 (CALL $28) CALL n*8"
F0,,,,,,,,"RP"
F1,,,,,,,,"POP psw"
F2,0000,FFFF,H,U,,,,"JP ?"
F3,,,,,,,,"DI"
F4,0000,FFFF,H,U,,,,"CP ?"
F5,,,,,,,,"PUSH psw"
F6,00,FF,H,U,,,,"ORI ?"
F7,,,,,,,,"RST 6 (CALL $30) CALL n*8"
F8,,,,,,,,"RM"
F9,,,,,,,,"SPHL"
FA,0000,FFFF,H,U,,,,"JM ?"
FB,,,,,,,,"EI"
FC,0000,FFFF,H,U,,,,"CM ?"
FD,0000,FFFF,H,U,,,,"JX5 ?"
FE,00,FF,H,U,,,,"CPI ?"
FF,,,,,,,,"RST 7 (CALL $38) CALL n*8"
