OpcodeBytes,OperandBytes,FirstOperandMask,FirstOperandHexDec,FirstOperandSignedUnsigned,SecondOperandMask,SecondOperandHexDec,SecondOperandSignedUnsigned,AssemblyString
01,,,,,,,,"NOP"
06,,,,,,,,"TAP"
07,,,,,,,,"TPA"
08,,,,,,,,"INX"
09,,,,,,,,"DEX"
0A,,,,,,,,"CLV"
0B,,,,,,,,"SEV"
0C,,,,,,,,"CLC"
0D,,,,,,,,"SEC"
0E,,,,,,,,"CLI"
0F,,,,,,,,"SEI"
10,,,,,,,,"SBA"
11,,,,,,,,"CBA"
16,,,,,,,,"TAB"
17,,,,,,,,"TBA"
19,,,,,,,,"DAA"
1B,,,,,,,,"ABA"
20,00,FF,H,S,,,,"BRA ?"
22,00,FF,H,S,,,,"BHI ?"
23,00,FF,H,S,,,,"BLS ?"
24,00,FF,H,S,,,,"BCC ?"
25,00,FF,H,S,,,,"BCS ?"
26,00,FF,H,S,,,,"BNE ?"
27,00,FF,H,S,,,,"BEQ ?"
28,00,FF,H,S,,,,"BVC ?"
29,00,FF,H,S,,,,"BVS ?"
2A,00,FF,H,S,,,,"BPL ?"
2B,00,FF,H,S,,,,"BMI ?"
2C,00,FF,H,S,,,,"BGE ?"
2D,00,FF,H,S,,,,"BLT ?"
2E,00,FF,H,S,,,,"BGT ?"
2F,00,FF,H,S,,,,"BLE ?"
30,,,,,,,,"TSX"
31,,,,,,,,"INS"
32,,,,,,,,"PULA"
33,,,,,,,,"PULB"
34,,,,,,,,"DES"
35,,,,,,,,"TXS"
36,,,,,,,,"PSHA"
37,,,,,,,,"PSHB"
39,,,,,,,,"RTS"
3B,,,,,,,,"RTI"
3E,,,,,,,,"WAI"
3F,,,,,,,,"SWI"
40,,,,,,,,"NEGA"
43,,,,,,,,"COMA"
44,,,,,,,,"LSRA"
46,,,,,,,,"RORA"
47,,,,,,,,"ASRA"
48,,,,,,,,"ASLA"
49,,,,,,,,"ROLA"
4A,,,,,,,,"DECA"
4C,,,,,,,,"INCA"
4D,,,,,,,,"TSTA"
4F,,,,,,,,"CLRA"
50,,,,,,,,"NEGB"
53,,,,,,,,"COMB"
54,,,,,,,,"LSRB"
56,,,,,,,,"RORB"
57,,,,,,,,"ASRB"
